57683,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001012,x113048900231000
59976,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001013,x113048900231000
56074,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001001,x113048900231000
49461,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001016,x113048900231000
63254,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001017,x113048900231000
64612,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001019,x113048900231000
58409,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001020,x113048900231000
58665,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001021,x113048900231000
64320,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001022,x113048900231000
55648,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001009,x113048900231000
59895,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001023,x113048900231000
57688,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001025,x113048900231000
56318,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001026,x113048900231000
65182,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001027,x113048900231000
54542,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001011,x113048900231000
51304,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001028,x113048900231000
64321,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001029,x113048900231000
65450,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001014,x113048900231000
49157,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001015,x113048900231000
65490,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001032,x113048900231000
65296,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001033,x113048900231000
60999,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001034,x113048900231000
64916,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001018,x113048900231000
60039,x113048900231000.eastus2.cloudapp.azure.com,11,yangc9001036,x113048900231000
